Mean charge during dwell time tau at ne=1E20m**-3 and Te[1-10000eV]
** <Z>
ne=1E20m**-3
     200           5 # of Te values, dwell times
Te[eV]
 6.320e+00 6.524e+00 6.732e+00 6.937e+00 7.131e+00 7.282e+00 7.391e+00 7.488e+00
 7.571e+00 7.643e+00 7.704e+00 7.754e+00 7.795e+00 7.820e+00 7.843e+00 7.863e+00
 7.880e+00 7.895e+00 7.908e+00 7.919e+00 7.927e+00 7.933e+00 7.939e+00 7.944e+00
 7.949e+00 7.954e+00 7.958e+00 7.963e+00 7.968e+00 7.972e+00 7.977e+00 7.982e+00
 7.989e+00 7.998e+00 8.010e+00 8.023e+00 8.037e+00 8.054e+00 8.075e+00 8.101e+00
 8.133e+00 8.173e+00 8.222e+00 8.282e+00 8.335e+00 8.388e+00 8.447e+00 8.514e+00
 8.589e+00 8.671e+00 8.760e+00 8.856e+00 8.957e+00 9.060e+00 9.164e+00 9.242e+00
 9.309e+00 9.372e+00 9.431e+00 9.487e+00 9.538e+00 9.586e+00 9.623e+00 9.652e+00
 9.679e+00 9.703e+00 9.726e+00 9.747e+00 9.766e+00 9.783e+00 9.796e+00 9.807e+00
 9.817e+00 9.827e+00 9.836e+00 9.845e+00 9.853e+00 9.860e+00 9.867e+00 9.875e+00
 9.881e+00 9.886e+00 9.890e+00 9.894e+00 9.898e+00 9.901e+00 9.903e+00 9.906e+00
 9.908e+00 9.910e+00 9.912e+00 9.914e+00 9.915e+00 9.916e+00 9.917e+00 9.917e+00
 9.918e+00 9.918e+00 9.918e+00 9.918e+00 9.917e+00 9.916e+00 9.915e+00 9.913e+00
 9.910e+00 9.910e+00 9.910e+00 9.910e+00 9.911e+00 9.911e+00 9.911e+00 9.911e+00
 9.911e+00 9.911e+00 9.911e+00 9.911e+00 9.911e+00 9.911e+00 9.911e+00 9.911e+00
Z for tau[ms]=  100.0
 3.917e-04 8.464e-04 1.819e-03 3.900e-03 8.324e-03 1.765e-02 3.697e-02 7.574e-02
 1.489e-01 2.631e-01 3.829e-01 5.192e-01 6.528e-01 7.657e-01 8.502e-01 9.081e-01
 9.379e-01 9.601e-01 9.780e-01 9.950e-01 1.016e+00 1.046e+00 1.096e+00 1.176e+00
 1.283e+00 1.375e+00 1.477e+00 1.580e+00 1.677e+00 1.760e+00 1.828e+00 1.879e+00
 1.917e+00 1.944e+00 1.963e+00 1.977e+00 1.987e+00 1.997e+00 2.011e+00 2.031e+00
 2.062e+00 2.111e+00 2.185e+00 2.259e+00 2.348e+00 2.449e+00 2.556e+00 2.662e+00
 2.762e+00 2.855e+00 2.938e+00 3.001e+00 3.068e+00 3.144e+00 3.230e+00 3.326e+00
 3.432e+00 3.543e+00 3.658e+00 3.760e+00 3.847e+00 3.938e+00 4.036e+00 4.142e+00
 4.257e+00 4.374e+00 4.470e+00 4.570e+00 4.673e+00 4.781e+00 4.895e+00 5.019e+00
 5.157e+00 5.318e+00 5.476e+00 5.625e+00 5.793e+00 5.982e+00 6.192e+00 6.419e+00
 6.654e+00 6.888e+00 7.107e+00 7.301e+00 7.465e+00 7.581e+00 7.659e+00 7.724e+00
 7.777e+00 7.821e+00 7.856e+00 7.885e+00 7.907e+00 7.920e+00 7.932e+00 7.942e+00
 7.951e+00 7.958e+00 7.964e+00 7.970e+00 7.973e+00 7.976e+00 7.978e+00 7.981e+00
 7.983e+00 7.985e+00 7.988e+00 7.992e+00 7.997e+00 8.001e+00 8.007e+00 8.015e+00
 8.026e+00 8.041e+00 8.061e+00 8.083e+00 8.107e+00 8.136e+00 8.173e+00 8.218e+00
 8.274e+00 8.342e+00 8.426e+00 8.527e+00 8.615e+00 8.701e+00 8.795e+00 8.896e+00
 9.001e+00 9.109e+00 9.216e+00 9.320e+00 9.418e+00 9.507e+00 9.587e+00 9.643e+00
 9.687e+00 9.727e+00 9.762e+00 9.792e+00 9.820e+00 9.843e+00 9.862e+00 9.876e+00
 9.889e+00 9.900e+00 9.910e+00 9.919e+00 9.927e+00 9.934e+00 9.940e+00 9.944e+00
 9.949e+00 9.952e+00 9.956e+00 9.959e+00 9.962e+00 9.965e+00 9.967e+00 9.970e+00
 9.971e+00 9.973e+00 9.975e+00 9.976e+00 9.977e+00 9.978e+00 9.979e+00 9.980e+00
 9.981e+00 9.982e+00 9.983e+00 9.983e+00 9.984e+00 9.985e+00 9.985e+00 9.985e+00
 9.986e+00 9.986e+00 9.986e+00 9.987e+00 9.987e+00 9.987e+00 9.987e+00 9.987e+00
 9.987e+00 9.987e+00 9.987e+00 9.987e+00 9.988e+00 9.988e+00 9.988e+00 9.988e+00
 9.988e+00 9.988e+00 9.988e+00 9.988e+00 9.989e+00 9.989e+00 9.989e+00 9.989e+00
Z for tau[ms]= 1000.0
 4.347e-04 9.504e-04 2.069e-03 4.498e-03 9.751e-03 2.100e-02 4.465e-02 9.238e-02
 1.814e-01 3.149e-01 4.477e-01 5.884e-01 7.159e-01 8.163e-01 8.871e-01 9.334e-01
 9.569e-01 9.743e-01 9.887e-01 1.004e+00 1.024e+00 1.055e+00 1.108e+00 1.194e+00
 1.307e+00 1.403e+00 1.507e+00 1.610e+00 1.704e+00 1.783e+00 1.846e+00 1.893e+00
 1.927e+00 1.951e+00 1.969e+00 1.982e+00 1.990e+00 2.000e+00 2.014e+00 2.034e+00
 2.066e+00 2.117e+00 2.194e+00 2.271e+00 2.361e+00 2.464e+00 2.571e+00 2.676e+00
