Mean charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd96/acd96_ne.dat
scd : /home/adas/adas/adf11/scd96/scd96_ne.dat
plt : /home/adas/adas/adf11/plt96/plt96_ne.dat
prb : /home/adas/adas/adf11/prb96/prb96_ne.dat

Te[eV]
<Z> for tau[ms]=   10.0
 2.112e-04 5.656e-04 1.437e-03 3.467e-03 7.960e-03 1.738e-02 3.600e-02 7.038e-02
 1.287e-01 2.175e-01 3.358e-01 4.710e-01 6.034e-01 7.169e-01 8.047e-01 8.691e-01
 9.164e-01 9.541e-01 9.903e-01 1.033e+00 1.091e+00 1.170e+00 1.273e+00 1.394e+00
 1.519e+00 1.635e+00 1.731e+00 1.806e+00 1.861e+00 1.901e+00 1.930e+00 1.952e+00
 1.970e+00 1.989e+00 2.012e+00 2.044e+00 2.092e+00 2.160e+00 2.251e+00 2.362e+00
 2.483e+00 2.604e+00 2.716e+00 2.818e+00 2.913e+00 3.007e+00 3.106e+00 3.212e+00
 3.325e+00 3.442e+00 3.559e+00 3.674e+00 3.787e+00 3.899e+00 4.015e+00 4.135e+00
 4.259e+00 4.387e+00 4.516e+00 4.644e+00 4.771e+00 4.900e+00 5.034e+00 5.177e+00
 5.334e+00 5.508e+00 5.701e+00 5.914e+00 6.142e+00 6.378e+00 6.611e+00 6.832e+00
 7.032e+00 7.205e+00 7.352e+00 7.474e+00 7.572e+00 7.651e+00 7.714e+00 7.764e+00
 7.803e+00 7.835e+00 7.860e+00 7.880e+00 7.896e+00 7.910e+00 7.920e+00 7.930e+00
 7.937e+00 7.944e+00 7.950e+00 7.955e+00 7.960e+00 7.965e+00 7.970e+00 7.976e+00
 7.984e+00 7.993e+00 8.004e+00 8.019e+00 8.037e+00 8.061e+00 8.090e+00 8.126e+00
 8.169e+00 8.221e+00 8.282e+00 8.352e+00 8.432e+00 8.521e+00 8.618e+00 8.720e+00
 8.825e+00 8.931e+00 9.033e+00 9.131e+00 9.222e+00 9.305e+00 9.380e+00 9.446e+00
 9.505e+00 9.556e+00 9.601e+00 9.640e+00 9.674e+00 9.704e+00 9.729e+00 9.752e+00
 9.771e+00 9.788e+00 9.802e+00 9.814e+00 9.823e+00 9.830e+00 9.837e+00 9.846e+00
 9.857e+00 9.868e+00 9.878e+00 9.886e+00 9.891e+00 9.895e+00 9.899e+00 9.903e+00
 9.906e+00 9.909e+00 9.911e+00 9.914e+00 9.916e+00 9.917e+00 9.918e+00 9.918e+00
 9.917e+00 9.916e+00 9.913e+00 9.911e+00 9.910e+00 9.910e+00 9.910e+00 9.911e+00
