 Y7_=_integral_of_radiation_loss_from_impurities_[MW]
 Y8_=_integral_of_radiation_loss_from_hydrogenic_species_[MW]
 Y9_=_integral_of_power_loss_due_to_charge_exchange_[MW]
 Y10=_integral_of_power_loss_due_to_electron_impact_ionisation_[MW]
 qconv=_Convected_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 qcond=_Conducted_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 im_rad=_Impurity_radiation_[W/m2]
 step   x//B_[m]     te_[eV]  ne/1e20/m3    Pth_[Pa] Ptotal_[Pa]     v_[m/s]       mach   n0/1e20/m3   Power_[W]   perp_area   qtot_W/m2  qconv_W/m2  qcond_W/m2     CX_W/m3    Ion_W/m3  H_rad_W/m3 im_rad_W/m3          Y7          Y8          Y9         Y10          He          Be          C_          N_          O_          Ne          Si          Ar          Fe          Ni          Kr          Xe          W_ n01/1e20/m3 n02/1e20m-3        nv24      v/ms-1
   22    0.00082  2.778E+000  3.441E+001  3.063E+003  3.589E+003 -6.068E+003  4.144E-001  1.965E+001  6.556E+006  9.405E-002  6.971E+007  4.806E+007  2.165E+007  2.606E+010  9.939E+009  2.597E+009  2.945E+008  9.208E-003  1.137E-001  1.483E+000  3.705E-001  7.542E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  2.173E+008  1.734E+006  1.765E+001  2.003E+000 -2.088E+001 -6.068E+003
   23    0.00087  2.841E+000  3.474E+001  3.162E+003  3.671E+003 -5.940E+003  4.011E-001  1.925E+001  6.767E+006  9.405E-002  7.196E+007  4.847E+007  2.348E+007  2.665E+010  1.095E+010  2.777E+009  3.294E+008  1.086E-002  1.280E-001  1.623E+000  4.259E-001  8.526E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  2.422E+008  1.942E+006  1.725E+001  1.998E+000 -2.063E+001 -5.940E+003
   24    0.00093  2.910E+000  3.503E+001  3.266E+003  3.757E+003 -5.808E+003  3.875E-001  1.878E+001  7.004E+006  9.405E-002  7.447E+007  4.885E+007  2.561E+007  2.718E+010  1.210E+010  2.971E+009  3.697E+008  1.284E-002  1.443E-001  1.776E+000  4.912E-001  9.667E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  2.708E+008  2.182E+006  1.679E+001  1.993E+000 -2.035E+001 -5.808E+003
   25    0.00100  2.986E+000  3.528E+001  3.375E+003  3.846E+003 -5.671E+003  3.735E-001  1.822E+001  7.268E+006  9.405E-002  7.728E+007  4.919E+007  2.809E+007  2.761E+010  1.338E+010  3.177E+009  4.141E+008  1.522E-002  1.629E-001  1.942E+000  5.683E-001  1.085E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  3.032E+008  2.431E+006  1.624E+001  1.986E+000 -2.000E+001 -5.671E+003
   26    0.00107  3.069E+000  3.546E+001  3.488E+003  3.938E+003 -5.529E+003  3.592E-001  1.758E+001  7.561E+006  9.405E-002  8.040E+007  4.945E+007  3.094E+007  2.784E+010  1.426E+010  3.286E+009  4.650E+008  1.806E-002  1.839E-001  2.122E+000  6.582E-001  1.218E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  3.405E+008  2.713E+006  1.560E+001  1.978E+000 -1.961E+001 -5.529E+003
   27    0.00114  3.161E+000  3.557E+001  3.603E+003  4.031E+003 -5.386E+003  3.448E-001  1.685E+001  7.883E+006  9.405E-002  8.382E+007  4.967E+007  3.415E+007  2.790E+010  1.504E+010  3.363E+009  5.200E+008  2.148E-002  2.070E-001  2.315E+000  7.598E-001  1.348E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  3.822E+008  2.991E+006  1.488E+001  1.969E+000 -1.916E+001 -5.386E+003
   28    0.00122  3.261E+000  3.559E+001  3.719E+003  4.125E+003 -5.241E+003  3.303E-001  1.604E+001  8.233E+006  9.405E-002  8.754E+007  4.979E+007  3.774E+007  2.776E+010  1.580E+010  3.421E+009  5.814E+008  2.556E-002  2.321E-001  2.521E+000  8.741E-001  1.485E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.297E+008  3.289E+006  1.408E+001  1.958E+000 -1.865E+001 -5.241E+003
   29    0.00130  3.371E+000  3.552E+001  3.837E+003  4.219E+003 -5.091E+003  3.157E-001  1.513E+001  8.611E+006  9.405E-002  9.156E+007  4.981E+007  4.175E+007  2.739E+010  1.650E+010  3.454E+009  6.484E+008  3.043E-002  2.594E-001  2.740E+000  1.002E+000  1.616E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.833E+008  3.588E+006  1.319E+001  1.945E+000 -1.809E+001 -5.091E+003
   30    0.00139  3.489E+000  3.536E+001  3.954E+003  4.311E+003 -4.937E+003  3.008E-001  1.413E+001  9.018E+006  9.405E-002  9.589E+007  4.968E+007  4.621E+007  2.673E+010  1.710E+010  3.455E+009  7.205E+008  3.623E-002  2.887E-001  2.969E+000  1.145E+000  1.737E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.429E+008  3.892E+006  1.220E+001  1.930E+000 -1.746E+001 -4.937E+003
   31    0.00149  3.618E+000  3.509E+001  4.069E+003  4.401E+003 -4.777E+003  2.858E-001  1.304E+001  9.451E+006  9.405E-002  1.005E+008  4.938E+007  5.111E+007  2.576E+010  1.754E+010  3.416E+009  7.980E+008  4.310E-002  3.198E-001  3.207E+000  1.302E+000  1.850E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  6.088E+008  4.205E+006  1.112E+001  1.912E+000 -1.676E+001 -4.777E+003
   32    0.00159  3.757E+000  3.472E+001  4.180E+003  4.486E+003 -4.610E+003  2.707E-001  1.186E+001  9.907E+006  9.405E-002  1.053E+008  4.888E+007  5.646E+007  2.444E+010  1.777E+010  3.329E+009  8.789E+008  5.121E-002  3.525E-001  3.450E+000  1.473E+000  1.946E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  6.798E+008  4.523E+006  9.968E+000  1.891E+000 -1.601E+001 -4.610E+003
   33    0.00170  3.906E+000  3.425E+001  4.286E+003  4.566E+003 -4.436E+003  2.555E-001  1.061E+001  1.038E+007  9.405E-002  1.104E+008  4.815E+007  6.220E+007  2.279E+010  1.772E+010  3.190E+009  9.629E+008  6.075E-002  3.863E-001  3.695E+000  1.657E+000  2.029E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  7.551E+008  4.865E+006  8.745E+000  1.867E+000 -1.519E+001 -4.436E+003
   34    0.00182  4.064E+000  3.368E+001  4.385E+003  4.639E+003 -4.256E+003  2.403E-001  9.321E+000  1.086E+007  9.405E-002  1.155E+008  4.720E+007  6.827E+007  2.081E+010  1.734E+010  2.997E+009  1.049E+009  7.189E-002  4.206E-001  3.937E+000  1.851E+000  2.104E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  8.335E+008  5.229E+006  7.483E+000  1.838E+000 -1.433E+001 -4.256E+003
   35    0.00194  4.232E+000  3.301E+001  4.476E+003  4.703E+003 -4.073E+003  2.253E-001  8.020E+000  1.134E+007  9.405E-002  1.206E+008  4.604E+007  7.455E+007  1.858E+010  1.660E+010  2.754E+009  1.136E+009  8.483E-002  4.547E-001  4.170E+000  2.052E+000  2.174E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  9.131E+008  5.617E+006  6.216E+000  1.804E+000 -1.344E+001 -4.073E+003
   36    0.00208  4.408E+000  3.226E+001  4.557E+003  4.759E+003 -3.888E+003  2.108E-001  6.750E+000  1.181E+007  9.405E-002  1.256E+008  4.469E+007  8.091E+007  1.619E+010  1.552E+010  2.470E+009  1.222E+009  9.975E-002  4.877E-001  4.390E+000  2.256E+000  2.249E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  9.909E+008  6.029E+006  4.985E+000  1.765E+000 -1.254E+001 -3.888E+003
   37    0.00222  4.593E+000  3.144E+001  4.627E+003  4.806E+003 -3.707E+003  1.969E-001  5.557E+000  1.226E+007  9.405E-002  1.304E+008  4.321E+007  8.720E+007  1.376E+010  1.416E+010  2.161E+009  1.306E+009  1.169E-001  5.191E-001  4.592E+000  2.457E+000  2.341E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.065E+009  6.462E+006  3.838E+000  1.719E+000 -1.165E+001 -3.707E+003
   38    0.00238  4.783E+000  3.058E+001  4.687E+003  4.845E+003 -3.531E+003  1.838E-001  4.483E+000  1.269E+007  9.405E-002  1.349E+008  4.165E+007  9.326E+007  1.143E+010  1.263E+010  1.848E+009  1.387E+009  1.363E-001  5.480E-001  4.774E+000  2.651E+000  2.454E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.134E+009  6.910E+006  2.816E+000  1.667E+000 -1.080E+001 -3.531E+003
