 Y7_=_integral_of_radiation_loss_from_impurities_[MW]
 Y8_=_integral_of_radiation_loss_from_hydrogenic_species_[MW]
 Y9_=_integral_of_power_loss_due_to_charge_exchange_[MW]
 Y10=_integral_of_power_loss_due_to_electron_impact_ionisation_[MW]
 qconv=_Convected_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 qcond=_Conducted_power_density_through_a_surface_perpendicular_to_B_[W/m2]
 im_rad=_Impurity_radiation_[W/m2]
 step   x//B_[m]     te_[eV]  ne/1e20/m3    Pth_[Pa] Ptotal_[Pa]     v_[m/s]       mach   n0/1e20/m3   Power_[W]   perp_area   qtot_W/m2  qconv_W/m2  qcond_W/m2     CX_W/m3    Ion_W/m3  H_rad_W/m3 im_rad_W/m3          Y7          Y8          Y9         Y10          He          Be          C_          N_          O_          Ne          Si          Ar          Fe          Ni          Kr          Xe          W_ n01/1e20/m3 n02/1e20m-3        nv24      v/ms-1
   88    0.06741  1.975E+001  7.938E+000  5.024E+003  5.024E+003 -6.890E-001  1.765E-005 -1.430E-004  2.501E+007  9.405E-002  2.659E+008  8.653E+003  2.659E+008  0.000E+000  0.000E+000  0.000E+000  6.977E+008  8.026E+000  8.429E-001  6.468E+000  5.092E+000  1.694E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.023E+008  2.601E+007 -2.686E-004  1.255E-004 -5.469E-004 -6.890E-001
   89    0.07208  2.021E+001  7.758E+000  5.024E+003  5.024E+003 -7.050E-001  1.785E-005 -1.430E-004  2.531E+007  9.405E-002  2.691E+008  8.854E+003  2.691E+008  0.000E+000  0.000E+000  0.000E+000  6.584E+008  8.323E+000  8.429E-001  6.468E+000  5.092E+000  1.593E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.730E+008  2.598E+007 -2.686E-004  1.255E-004 -5.469E-004 -7.050E-001
   90    0.07707  2.068E+001  7.583E+000  5.024E+003  5.024E+003 -7.213E-001  1.805E-005 -1.430E-004  2.561E+007  9.405E-002  2.723E+008  9.059E+003  2.723E+008  0.000E+000  0.000E+000  0.000E+000  6.214E+008  8.623E+000  8.429E-001  6.468E+000  5.092E+000  1.499E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.455E+008  2.595E+007 -2.686E-004  1.255E-004 -5.469E-004 -7.213E-001
   91    0.08240  2.115E+001  7.412E+000  5.024E+003  5.024E+003 -7.379E-001  1.826E-005 -1.430E-004  2.591E+007  9.405E-002  2.755E+008  9.268E+003  2.755E+008  0.000E+000  0.000E+000  0.000E+000  5.861E+008  8.926E+000  8.429E-001  6.468E+000  5.092E+000  1.410E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.192E+008  2.585E+007 -2.686E-004  1.255E-004 -5.469E-004 -7.379E-001
   92    0.08810  2.164E+001  7.244E+000  5.024E+003  5.024E+003 -7.550E-001  1.847E-005 -1.430E-004  2.621E+007  9.405E-002  2.787E+008  9.482E+003  2.787E+008  0.000E+000  0.000E+000  0.000E+000  5.527E+008  9.231E+000  8.429E-001  6.468E+000  5.092E+000  1.327E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  3.943E+008  2.573E+007 -2.686E-004  1.255E-004 -5.469E-004 -7.550E-001
   93    0.09419  2.214E+001  7.081E+000  5.024E+003  5.024E+003 -7.723E-001  1.868E-005 -1.430E-004  2.652E+007  9.405E-002  2.820E+008  9.700E+003  2.820E+008  0.000E+000  0.000E+000  0.000E+000  5.213E+008  9.538E+000  8.429E-001  6.468E+000  5.092E+000  1.248E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  3.709E+008  2.556E+007 -2.686E-004  1.255E-004 -5.469E-004 -7.723E-001
   94    0.10071  2.265E+001  6.922E+000  5.024E+003  5.024E+003 -7.901E-001  1.890E-005 -1.430E-004  2.683E+007  9.405E-002  2.853E+008  9.924E+003  2.853E+008  0.000E+000  0.000E+000  0.000E+000  4.915E+008  9.848E+000  8.429E-001  6.468E+000  5.092E+000  1.174E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  3.488E+008  2.533E+007 -2.686E-004  1.255E-004 -5.469E-004 -7.901E-001
   95    0.10768  2.317E+001  6.766E+000  5.024E+003  5.024E+003 -8.083E-001  1.911E-005 -1.430E-004  2.714E+007  9.405E-002  2.886E+008  1.015E+004  2.886E+008  0.000E+000  0.000E+000  0.000E+000  4.635E+008  1.016E+001  8.429E-001  6.468E+000  5.092E+000  1.104E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  3.280E+008  2.509E+007 -2.686E-004  1.255E-004 -5.469E-004 -8.083E-001
   96    0.11513  2.370E+001  6.614E+000  5.024E+003  5.024E+003 -8.269E-001  1.933E-005 -1.430E-004  2.746E+007  9.405E-002  2.920E+008  1.038E+004  2.920E+008  0.000E+000  0.000E+000  0.000E+000  4.370E+008  1.048E+001  8.429E-001  6.468E+000  5.092E+000  1.039E+008  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  3.083E+008  2.476E+007 -2.686E-004  1.255E-004 -5.469E-004 -8.269E-001
   97    0.12309  2.425E+001  6.466E+000  5.024E+003  5.024E+003 -8.458E-001  1.955E-005 -1.430E-004  2.778E+007  9.405E-002  2.953E+008  1.062E+004  2.953E+008  0.000E+000  0.000E+000  0.000E+000  4.120E+008  1.079E+001  8.429E-001  6.468E+000  5.092E+000  9.771E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  2.899E+008  2.443E+007 -2.686E-004  1.255E-004 -5.469E-004 -8.458E-001
   98    0.13161  2.480E+001  6.321E+000  5.024E+003  5.024E+003 -8.652E-001  1.977E-005 -1.430E-004  2.810E+007  9.405E-002  2.988E+008  1.087E+004  2.987E+008  0.000E+000  0.000E+000  0.000E+000  3.884E+008  1.111E+001  8.429E-001  6.468E+000  5.092E+000  9.190E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  2.725E+008  2.404E+007 -2.686E-004  1.255E-004 -5.469E-004 -8.652E-001
   99    0.14072  2.537E+001  6.180E+000  5.024E+003  5.024E+003 -8.850E-001  2.000E-005 -1.430E-004  2.842E+007  9.405E-002  3.022E+008  1.112E+004  3.022E+008  0.000E+000  0.000E+000  0.000E+000  3.662E+008  1.144E+001  8.429E-001  6.468E+000  5.092E+000  8.645E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  2.561E+008  2.363E+007 -2.686E-004  1.255E-004 -5.469E-004 -8.850E-001
  100    0.15045  2.595E+001  6.041E+000  5.024E+003  5.024E+003 -9.053E-001  2.023E-005 -1.430E-004  2.875E+007  9.405E-002  3.056E+008  1.137E+004  3.056E+008  0.000E+000  0.000E+000  0.000E+000  3.452E+008  1.176E+001  8.429E-001  6.468E+000  5.092E+000  8.132E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  2.407E+008  2.319E+007 -2.686E-004  1.255E-004 -5.469E-004 -9.053E-001
  101    0.16086  2.654E+001  5.906E+000  5.024E+003  5.024E+003 -9.260E-001  2.046E-005 -1.430E-004  2.907E+007  9.405E-002  3.091E+008  1.163E+004  3.091E+008  0.000E+000  0.000E+000  0.000E+000  3.254E+008  1.209E+001  8.429E-001  6.468E+000  5.092E+000  7.651E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  2.262E+008  2.269E+007 -2.686E-004  1.255E-004 -5.469E-004 -9.260E-001
  102    0.17199  2.715E+001  5.775E+000  5.024E+003  5.024E+003 -9.471E-001  2.069E-005 -1.430E-004  2.940E+007  9.405E-002  3.127E+008  1.190E+004  3.126E+008  0.000E+000  0.000E+000  0.000E+000  3.068E+008  1.242E+001  8.429E-001  6.468E+000  5.092E+000  7.199E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  2.126E+008  2.221E+007 -2.686E-004  1.255E-004 -5.469E-004 -9.471E-001
  103    0.18389  2.777E+001  5.646E+000  5.024E+003  5.024E+003 -9.687E-001  2.092E-005 -1.430E-004  2.974E+007  9.405E-002  3.162E+008  1.217E+004  3.162E+008  0.000E+000  0.000E+000  0.000E+000  2.892E+008  1.276E+001  8.429E-001  6.468E+000  5.092E+000  6.775E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.998E+008  2.165E+007 -2.686E-004  1.255E-004 -5.469E-004 -9.687E-001
  104    0.19662  2.840E+001  5.520E+000  5.024E+003  5.024E+003 -9.908E-001  2.116E-005 -1.430E-004  3.007E+007  9.405E-002  3.198E+008  1.244E+004  3.198E+008  0.000E+000  0.000E+000  0.000E+000  2.727E+008  1.309E+001  8.429E-001  6.468E+000  5.092E+000  6.376E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.878E+008  2.111E+007 -2.686E-004  1.255E-004 -5.469E-004 -9.908E-001
  105    0.21022  2.905E+001  5.397E+000  5.024E+003  5.024E+003 -1.013E+000  2.140E-005 -1.430E-004  3.041E+007  9.405E-002  3.234E+008  1.273E+004  3.234E+008  0.000E+000  0.000E+000  0.000E+000  2.570E+008  1.343E+001  8.429E-001  6.468E+000  5.092E+000  6.000E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.765E+008  2.052E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.013E+000
  106    0.22476  2.971E+001  5.277E+000  5.024E+003  5.024E+003 -1.036E+000  2.164E-005 -1.430E-004  3.075E+007  9.405E-002  3.270E+008  1.302E+004  3.270E+008  0.000E+000  0.000E+000  0.000E+000  2.423E+008  1.377E+001  8.429E-001  6.468E+000  5.092E+000  5.647E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.658E+008  1.993E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.036E+000
  107    0.24032  3.039E+001  5.159E+000  5.024E+003  5.024E+003 -1.060E+000  2.189E-005 -1.430E-004  3.110E+007  9.405E-002  3.307E+008  1.331E+004  3.306E+008  0.000E+000  0.000E+000  0.000E+000  2.284E+008  1.412E+001  8.429E-001  6.468E+000  5.092E+000  5.315E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.559E+008  1.934E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.060E+000
  108    0.25694  3.108E+001  5.045E+000  5.024E+003  5.024E+003 -1.084E+000  2.214E-005 -1.430E-004  3.144E+007  9.405E-002  3.343E+008  1.362E+004  3.343E+008  0.000E+000  0.000E+000  0.000E+000  2.153E+008  1.446E+001  8.429E-001  6.468E+000  5.092E+000  5.004E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.466E+008  1.870E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.084E+000
  109    0.27472  3.178E+001  4.933E+000  5.024E+003  5.024E+003 -1.109E+000  2.239E-005 -1.430E-004  3.179E+007  9.405E-002  3.381E+008  1.393E+004  3.380E+008  0.000E+000  0.000E+000  0.000E+000  2.031E+008  1.481E+001  8.429E-001  6.468E+000  5.092E+000  4.711E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.379E+008  1.809E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.109E+000
  110    0.29373  3.251E+001  4.823E+000  5.024E+003  5.024E+003 -1.134E+000  2.264E-005 -1.430E-004  3.215E+007  9.405E-002  3.418E+008  1.424E+004  3.418E+008  0.000E+000  0.000E+000  0.000E+000  1.915E+008  1.516E+001  8.429E-001  6.468E+000  5.092E+000  4.435E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.298E+008  1.744E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.134E+000
  111    0.31405  3.324E+001  4.716E+000  5.024E+003  5.024E+003 -1.160E+000  2.289E-005 -1.430E-004  3.250E+007  9.405E-002  3.456E+008  1.456E+004  3.456E+008  0.000E+000  0.000E+000  0.000E+000  1.807E+008  1.552E+001  8.429E-001  6.468E+000  5.092E+000  4.176E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.221E+008  1.681E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.160E+000
  112    0.33578  3.400E+001  4.612E+000  5.024E+003  5.024E+003 -1.186E+000  2.315E-005 -1.430E-004  3.286E+007  9.405E-002  3.494E+008  1.490E+004  3.494E+008  0.000E+000  0.000E+000  0.000E+000  1.705E+008  1.588E+001  8.429E-001  6.468E+000  5.092E+000  3.933E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.150E+008  1.618E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.186E+000
  113    0.35901  3.477E+001  4.509E+000  5.024E+003  5.024E+003 -1.213E+000  2.341E-005 -1.430E-004  3.322E+007  9.405E-002  3.533E+008  1.523E+004  3.532E+008  0.000E+000  0.000E+000  0.000E+000  1.610E+008  1.624E+001  8.429E-001  6.468E+000  5.092E+000  3.704E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.085E+008  1.554E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.213E+000
  114    0.38385  3.555E+001  4.410E+000  5.024E+003  5.024E+003 -1.240E+000  2.368E-005 -1.430E-004  3.359E+007  9.405E-002  3.571E+008  1.558E+004  3.571E+008  0.000E+000  0.000E+000  0.000E+000  1.521E+008  1.661E+001  8.429E-001  6.468E+000  5.092E+000  3.489E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  1.023E+008  1.492E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.240E+000
  115    0.41041  3.636E+001  4.312E+000  5.024E+003  5.024E+003 -1.268E+000  2.394E-005 -1.430E-004  3.396E+007  9.405E-002  3.611E+008  1.593E+004  3.610E+008  0.000E+000  0.000E+000  0.000E+000  1.438E+008  1.698E+001  8.429E-001  6.468E+000  5.092E+000  3.287E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  9.669E+007  1.428E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.268E+000
  116    0.43880  3.718E+001  4.217E+000  5.024E+003  5.024E+003 -1.297E+000  2.421E-005 -1.430E-004  3.433E+007  9.405E-002  3.650E+008  1.629E+004  3.650E+008  0.000E+000  0.000E+000  0.000E+000  1.360E+008  1.735E+001  8.429E-001  6.468E+000  5.092E+000  3.098E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  9.138E+007  1.367E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.297E+000
  117    0.46917  3.802E+001  4.123E+000  5.024E+003  5.024E+003 -1.326E+000  2.448E-005 -1.430E-004  3.471E+007  9.405E-002  3.691E+008  1.666E+004  3.690E+008  0.000E+000  0.000E+000  0.000E+000  1.288E+008  1.773E+001  8.429E-001  6.468E+000  5.092E+000  2.920E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  8.658E+007  1.305E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.326E+000
  118    0.50163  3.888E+001  4.032E+000  5.024E+003  5.024E+003 -1.356E+000  2.476E-005 -1.430E-004  3.509E+007  9.405E-002  3.731E+008  1.704E+004  3.731E+008  0.000E+000  0.000E+000  0.000E+000  1.221E+008  1.811E+001  8.429E-001  6.468E+000  5.092E+000  2.752E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  8.210E+007  1.245E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.356E+000
  119    0.53633  3.976E+001  3.943E+000  5.024E+003  5.024E+003 -1.387E+000  2.504E-005 -1.430E-004  3.548E+007  9.405E-002  3.773E+008  1.742E+004  3.772E+008  0.000E+000  0.000E+000  0.000E+000  1.158E+008  1.850E+001  8.429E-001  6.468E+000  5.092E+000  2.594E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  7.798E+007  1.187E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.387E+000
  120    0.57344  4.066E+001  3.856E+000  5.024E+003  5.024E+003 -1.418E+000  2.532E-005 -1.430E-004  3.587E+007  9.405E-002  3.814E+008  1.781E+004  3.814E+008  0.000E+000  0.000E+000  0.000E+000  1.100E+008  1.889E+001  8.429E-001  6.468E+000  5.092E+000  2.446E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  7.425E+007  1.129E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.418E+000
  121    0.61312  4.158E+001  3.771E+000  5.024E+003  5.024E+003 -1.450E+000  2.560E-005 -1.430E-004  3.627E+007  9.405E-002  3.857E+008  1.822E+004  3.857E+008  0.000E+000  0.000E+000  0.000E+000  1.045E+008  1.929E+001  8.429E-001  6.468E+000  5.092E+000  2.306E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  7.070E+007  1.074E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.450E+000
  122    0.65554  4.252E+001  3.687E+000  5.024E+003  5.024E+003 -1.483E+000  2.589E-005 -1.430E-004  3.668E+007  9.405E-002  3.900E+008  1.863E+004  3.900E+008  0.000E+000  0.000E+000  0.000E+000  9.956E+007  1.970E+001  8.429E-001  6.468E+000  5.092E+000  2.175E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  6.762E+007  1.019E+007 -2.686E-004  1.255E-004 -5.469E-004 -1.483E+000
  123    0.70089  4.348E+001  3.606E+000  5.024E+003  5.024E+003 -1.517E+000  2.618E-005 -1.430E-004  3.709E+007  9.405E-002  3.944E+008  1.905E+004  3.944E+008  0.000E+000  0.000E+000  0.000E+000  9.486E+007  2.011E+001  8.429E-001  6.468E+000  5.092E+000  2.051E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  6.468E+007  9.665E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.517E+000
  124    0.74939  4.446E+001  3.526E+000  5.024E+003  5.024E+003 -1.551E+000  2.647E-005 -1.430E-004  3.752E+007  9.405E-002  3.989E+008  1.948E+004  3.989E+008  0.000E+000  0.000E+000  0.000E+000  9.054E+007  2.053E+001  8.429E-001  6.468E+000  5.092E+000  1.935E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  6.203E+007  9.152E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.551E+000
  125    0.80123  4.546E+001  3.449E+000  5.024E+003  5.024E+003 -1.586E+000  2.677E-005 -1.430E-004  3.795E+007  9.405E-002  4.035E+008  1.992E+004  4.035E+008  0.000E+000  0.000E+000  0.000E+000  8.652E+007  2.097E+001  8.429E-001  6.468E+000  5.092E+000  1.826E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.960E+007  8.658E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.586E+000
  126    0.85667  4.649E+001  3.372E+000  5.024E+003  5.024E+003 -1.622E+000  2.707E-005 -1.430E-004  3.839E+007  9.405E-002  4.082E+008  2.037E+004  4.082E+008  0.000E+000  0.000E+000  0.000E+000  8.274E+007  2.141E+001  8.429E-001  6.468E+000  5.092E+000  1.723E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.732E+007  8.185E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.622E+000
  127    0.91594  4.754E+001  3.298E+000  5.024E+003  5.024E+003 -1.658E+000  2.738E-005 -1.430E-004  3.884E+007  9.405E-002  4.130E+008  2.083E+004  4.130E+008  0.000E+000  0.000E+000  0.000E+000  7.930E+007  2.186E+001  8.429E-001  6.468E+000  5.092E+000  1.626E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.531E+007  7.724E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.658E+000
  128    0.97932  4.862E+001  3.225E+000  5.024E+003  5.024E+003 -1.696E+000  2.768E-005 -1.430E-004  3.930E+007  9.405E-002  4.179E+008  2.130E+004  4.179E+008  0.000E+000  0.000E+000  0.000E+000  7.601E+007  2.232E+001  8.429E-001  6.468E+000  5.092E+000  1.535E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.337E+007  7.288E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.696E+000
  129    1.04707  4.971E+001  3.154E+000  5.024E+003  5.024E+003 -1.734E+000  2.800E-005 -1.430E-004  3.978E+007  9.405E-002  4.229E+008  2.178E+004  4.229E+008  0.000E+000  0.000E+000  0.000E+000  7.299E+007  2.279E+001  8.429E-001  6.468E+000  5.092E+000  1.449E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  5.164E+007  6.864E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.734E+000
  130    1.11952  5.084E+001  3.084E+000  5.024E+003  5.024E+003 -1.774E+000  2.831E-005 -1.430E-004  4.026E+007  9.405E-002  4.281E+008  2.227E+004  4.281E+008  0.000E+000  0.000E+000  0.000E+000  7.013E+007  2.328E+001  8.429E-001  6.468E+000  5.092E+000  1.368E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.999E+007  6.463E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.774E+000
  131    1.19698  5.199E+001  3.015E+000  5.024E+003  5.024E+003 -1.814E+000  2.863E-005 -1.430E-004  4.077E+007  9.405E-002  4.335E+008  2.278E+004  4.334E+008  0.000E+000  0.000E+000  0.000E+000  6.744E+007  2.378E+001  8.429E-001  6.468E+000  5.092E+000  1.292E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.844E+007  6.080E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.814E+000
  132    1.27979  5.317E+001  2.949E+000  5.024E+003  5.024E+003 -1.855E+000  2.895E-005 -1.430E-004  4.128E+007  9.405E-002  4.389E+008  2.330E+004  4.389E+008  0.000E+000  0.000E+000  0.000E+000  6.492E+007  2.430E+001  8.429E-001  6.468E+000  5.092E+000  1.220E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.700E+007  5.713E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.855E+000
  133    1.36834  5.438E+001  2.883E+000  5.024E+003  5.024E+003 -1.897E+000  2.928E-005 -1.430E-004  4.181E+007  9.405E-002  4.446E+008  2.382E+004  4.445E+008  0.000E+000  0.000E+000  0.000E+000  6.250E+007  2.483E+001  8.429E-001  6.468E+000  5.092E+000  1.152E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.561E+007  5.368E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.897E+000
  134    1.46301  5.561E+001  2.819E+000  5.024E+003  5.024E+003 -1.940E+000  2.961E-005 -1.430E-004  4.236E+007  9.405E-002  4.504E+008  2.437E+004  4.504E+008  0.000E+000  0.000E+000  0.000E+000  6.023E+007  2.537E+001  8.429E-001  6.468E+000  5.092E+000  1.089E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.431E+007  5.036E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.940E+000
  135    1.56424  5.688E+001  2.756E+000  5.024E+003  5.024E+003 -1.984E+000  2.995E-005 -1.430E-004  4.292E+007  9.405E-002  4.564E+008  2.492E+004  4.563E+008  0.000E+000  0.000E+000  0.000E+000  5.805E+007  2.594E+001  8.429E-001  6.468E+000  5.092E+000  1.028E+007  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.304E+007  4.725E+006 -2.686E-004  1.255E-004 -5.469E-004 -1.984E+000
  136    1.67246  5.817E+001  2.695E+000  5.024E+003  5.024E+003 -2.029E+000  3.028E-005 -1.430E-004  4.350E+007  9.405E-002  4.625E+008  2.549E+004  4.625E+008  0.000E+000  0.000E+000  0.000E+000  5.596E+007  2.652E+001  8.429E-001  6.468E+000  5.092E+000  9.714E+006  6.953E-310  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.733E-312  6.953E-310  6.953E-310  0.000E+000  4.182E+007  4.430E+006 -2.686E-004  1.255E-004 -5.469E-004 -2.029E+000
