Mean quadratic charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd96/acd96_ne.dat
scd : /home/adas/adas/adf11/scd96/scd96_ne.dat
plt : /home/adas/adas/adf11/plt96/plt96_ne.dat
prb : /home/adas/adas/adf11/prb96/prb96_ne.dat

Te[eV]
 5.387e+00 5.566e+00 5.765e+00 5.982e+00 6.214e+00 6.450e+00 6.682e+00 6.898e+00
 7.092e+00 7.259e+00 7.399e+00 7.514e+00 7.606e+00 7.680e+00 7.738e+00 7.784e+00
 7.821e+00 7.850e+00 7.873e+00 7.892e+00 7.907e+00 7.919e+00 7.929e+00 7.937e+00
 7.944e+00 7.950e+00 7.956e+00 7.961e+00 7.965e+00 7.970e+00 7.975e+00 7.981e+00
 7.988e+00 7.998e+00 8.010e+00 8.025e+00 8.044e+00 8.069e+00 8.100e+00 8.137e+00
 8.183e+00 8.237e+00 8.301e+00 8.374e+00 8.458e+00 8.550e+00 8.650e+00 8.755e+00
 8.862e+00 8.969e+00 9.072e+00 9.169e+00 9.259e+00 9.340e+00 9.413e+00 9.477e+00
 9.534e+00 9.583e+00 9.626e+00 9.663e+00 9.696e+00 9.724e+00 9.748e+00 9.770e+00
 9.788e+00 9.804e+00 9.817e+00 9.829e+00 9.838e+00 9.845e+00 9.852e+00 9.860e+00
 9.870e+00 9.880e+00 9.889e+00 9.895e+00 9.900e+00 9.904e+00 9.908e+00 9.911e+00
 9.914e+00 9.917e+00 9.919e+00 9.921e+00 9.923e+00 9.925e+00 9.926e+00 9.926e+00
 9.926e+00 9.925e+00 9.923e+00 9.922e+00 9.921e+00 9.921e+00 9.921e+00 9.922e+00
 9.923e+00 9.924e+00 9.924e+00 9.924e+00 9.925e+00 9.925e+00 9.925e+00 9.925e+00
 9.925e+00 9.925e+00 9.925e+00 9.925e+00 9.925e+00 9.924e+00 9.924e+00 9.924e+00
 9.924e+00 9.923e+00 9.923e+00 9.923e+00 9.923e+00 9.922e+00 9.922e+00 9.922e+00
 9.921e+00 9.921e+00 9.921e+00 9.920e+00 9.920e+00 9.920e+00 9.919e+00 9.919e+00
 9.919e+00 9.918e+00 9.918e+00 9.917e+00 9.917e+00 9.917e+00 9.916e+00 9.916e+00
sqrt(<Z^2>) for tau[ms]=  100.0
 1.993e-02 3.346e-02 5.473e-02 8.725e-02 1.355e-01 2.043e-01 2.978e-01 4.154e-01
 5.485e-01 6.791e-01 7.887e-01 8.683e-01 9.207e-01 9.536e-01 9.750e-01 9.918e-01
 1.010e+00 1.038e+00 1.083e+00 1.155e+00 1.259e+00 1.389e+00 1.529e+00 1.659e+00
 1.763e+00 1.840e+00 1.893e+00 1.929e+00 1.953e+00 1.969e+00 1.981e+00 1.992e+00
 2.005e+00 2.024e+00 2.055e+00 2.103e+00 2.176e+00 2.274e+00 2.394e+00 2.522e+00
 2.645e+00 2.755e+00 2.850e+00 2.936e+00 3.021e+00 3.110e+00 3.210e+00 3.318e+00
 3.434e+00 3.550e+00 3.664e+00 3.774e+00 3.883e+00 3.993e+00 4.109e+00 4.230e+00
 4.356e+00 4.485e+00 4.614e+00 4.742e+00 4.871e+00 5.005e+00 5.148e+00 5.305e+00
 5.484e+00 5.687e+00 5.918e+00 6.173e+00 6.442e+00 6.711e+00 6.963e+00 7.183e+00
 7.367e+00 7.513e+00 7.627e+00 7.713e+00 7.779e+00 7.828e+00 7.865e+00 7.893e+00
 7.915e+00 7.931e+00 7.944e+00 7.954e+00 7.962e+00 7.968e+00 7.973e+00 7.977e+00
 7.980e+00 7.983e+00 7.985e+00 7.988e+00 7.991e+00 7.995e+00 8.000e+00 8.006e+00
 8.015e+00 8.027e+00 8.044e+00 8.066e+00 8.094e+00 8.130e+00 8.175e+00 8.230e+00
 8.296e+00 8.375e+00 8.466e+00 8.570e+00 8.687e+00 8.812e+00 8.942e+00 9.071e+00
 9.196e+00 9.311e+00 9.415e+00 9.505e+00 9.583e+00 9.648e+00 9.703e+00 9.748e+00
 9.786e+00 9.817e+00 9.842e+00 9.864e+00 9.881e+00 9.896e+00 9.909e+00 9.919e+00
 9.928e+00 9.936e+00 9.942e+00 9.948e+00 9.952e+00 9.956e+00 9.960e+00 9.963e+00
 9.966e+00 9.969e+00 9.972e+00 9.974e+00 9.976e+00 9.977e+00 9.979e+00 9.980e+00
 9.981e+00 9.982e+00 9.983e+00 9.984e+00 9.985e+00 9.985e+00 9.986e+00 9.987e+00
 9.987e+00 9.987e+00 9.987e+00 9.988e+00 9.988e+00 9.988e+00 9.988e+00 9.989e+00
 9.989e+00 9.989e+00 9.989e+00 9.990e+00 9.990e+00 9.990e+00 9.990e+00 9.990e+00
 9.990e+00 9.990e+00 9.990e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00
 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00
 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00
 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00 9.991e+00
sqrt(<Z^2>) for tau[ms]= 1000.0
 2.087e-02 3.523e-02 5.797e-02 9.299e-02 1.453e-01 2.203e-01 3.222e-01 4.493e-01
 5.894e-01 7.207e-01 8.246e-01 8.956e-01 9.398e-01 9.665e-01 9.838e-01 9.982e-01
 1.016e+00 1.044e+00 1.092e+00 1.168e+00 1.278e+00 1.414e+00 1.556e+00 1.683e+00
 1.784e+00 1.856e+00 1.905e+00 1.938e+00 1.959e+00 1.973e+00 1.984e+00 1.995e+00
 2.008e+00 2.027e+00 2.059e+00 2.109e+00 2.184e+00 2.285e+00 2.407e+00 2.536e+00
 2.658e+00 2.766e+00 2.860e+00 2.944e+00 3.028e+00 3.117e+00 3.216e+00 3.325e+00
 3.440e+00 3.556e+00 3.670e+00 3.780e+00 3.888e+00 3.999e+00 4.114e+00 4.236e+00
 4.362e+00 4.491e+00 4.620e+00 4.748e+00 4.877e+00 5.011e+00 5.155e+00 5.314e+00
 5.495e+00 5.702e+00 5.937e+00 6.198e+00 6.472e+00 6.745e+00 6.999e+00 7.219e+00
 7.400e+00 7.543e+00 7.653e+00 7.736e+00 7.798e+00 7.844e+00 7.879e+00 7.905e+00
 7.925e+00 7.940e+00 7.951e+00 7.960e+00 7.967e+00 7.973e+00 7.977e+00 7.981e+00
 7.983e+00 7.986e+00 7.988e+00 7.991e+00 7.994e+00 7.997e+00 8.002e+00 8.009e+00
